,Question,Option A,Option B,Option C,Option D
0,What does “AI bias” mean when used in relation to artificial intelligence?,A.The tendency of AI systems to make decisions without data,B.The unintentional discrimination in AI systems due to biased training data,C.The ability of AI systems to make decisions without human intervention,D.The ethical considerations when designing AI algorithms
1,Which AI technique is often used for clustering data into groups with similar characteristics?,A.Regression,B.Reinforcement Learning,C.Supervised Learning,D.Unsupervised Learning
2,What function does a Recurrent Neural Network (RNN) perform in AI?,A.To classify images,B.To analyze text sentiment,C.To process sequences of data with memory,D.To play board games
3,The main objective of artificial intelligence?,A.To replicate human intelligence exactly,B.To develop computer programs that can think for themselves,C.To mimic human behavior without understanding,D.To solve complex problems using algorithms
4,What does “NLU” mean when referring to natural language?,A.Natural Language Understanding,B.Neural Language Unit,C.New Linguistic Understanding,D.Neutral Language Understanding
5,What is the name of the kind of AI system that can complete particular tasks at or better than human levels of proficiency?,A.Strong AI,B.Weak AI,C.Narrow AI,D.General AI
6,What is the purpose of an AI chatbot?,A.To play video games,B.To automate routine customer service tasks,C.To generate random text,D.To translate languages
7,"Which AI application involves teaching a computer to perform a task by example, rather than through explicit programming?",A.Supervised Learning,B.Unsupervised Learning,C.Reinforcement Learning,D.Machine Vision
8,What does “IoT” mean in terms of artificial intelligence?,A.Internet of Things,B.Intelligence of Technology,C.Input of Text,D.Internet of Training
9,Which of the following is not a common application of natural language processing (NLP)?,A.Sentiment analysis,B.Machine translation,C.Image recognition,D.Chatbots
10,Why is the Turing Test used in AI?,A.To evaluate the computational power of a computer,B.To measure a machine’s ability to exhibit human-like intelligence,C.To assess the speed of algorithm execution,D.To determine if a computer can defeat a human in chess
11,Which programming language was designed for artificial intelligence and symbolic reasoning?,A.C++,B.Python,C.Lisp,D.Ruby
12,What does machine learning and AI mean when they refer to “data augmentation”?,A.Creating new data by generating random values,B.Increasing the size of the training dataset through transformations,C.Reducing the size of the training dataset for efficiency,D.Scaling the data to fit a specific range
13,What is the name of the form of machine learning in which the algorithm learns to predict outcomes using labeled data?,A.Supervised Learning,B.Unsupervised Learning,C.Reinforcement Learning,D.Semi-supervised Learning
14,Which AI strategy makes use of neural networks with numerous layers and aims to mimic how people think and learn?,A.Symbolic AI,B.Evolutionary Computing,C.Deep Learning,D.Genetic Algorithms
15,What does “AI ethics” mean when used in artificial intelligence?,A.The study of AI algorithms,B.The design of AI systems to be ethically neutral,C.The ethical considerations and guidelines for AI development and use,D.The use of AI for ethical decision-making
16,Which AI method is motivated by the laws of natural selection and the survival of the fittest?,A.Reinforcement Learning,B.Genetic Algorithms,C.Deep Learning,D.Fuzzy Logic
17,What function does an AI-based recommendation system provide?,A.To classify images,B.To optimize supply chain management,C.To suggest personalized content or products to users,D.To control industrial robots
18,What do you know by “named entity recognition” in natural language processing?,"A.Identifying and classifying entities in text, such as names of people, places, and organizations",B.Analyzing sentiment in text,C.Translating text from one language to another,D.Summarizing lengthy documents
19,What is the name of machine learning where the algorithm looks for patterns or groupings in data even when the labels are not explicit?,A.Supervised Learning,B.Unsupervised Learning,C.Reinforcement Learning,D.Semi-supervised Learning
20,Which of the following cannot be considered a subset of AI?,A.Machine Learning,B.Natural Language Processing (NLP),C.Expert Systems,D.Virtual Reality (VR)
21,"What do you call a computer system that is capable of activities like speech recognition, visual perception, and decision-making, which generally need human intelligence?",A.Expert System,B.Neural Network,C.Turing Machine,D.Supercomputer
22,Which AI strategy maximizes a payoff in an uncertain environment when making decisions?,A.Genetic Algorithms,B.Reinforcement Learning,C.Expert Systems,D.Fuzzy Logic
23,What is the most popular programming language for developing AI and machine learning applications?,A.C++,B.Java,C.Python,D.Ruby
